y_true,y_proba
1,0.21935348
1,0.1853576
1,0.9634009
1,0.49870238
0,0.010489527
1,0.38364926
1,0.5488686
0,0.17161734
1,0.6813614
0,0.023374531
1,0.65598685
0,0.48163623
1,0.45465893
1,0.6431871
0,0.8225882
0,0.012681424
1,0.65929765
1,0.755171
1,0.7236841
0,0.40255076
1,0.48771465
1,0.009982368
1,0.28687748
1,0.5443137
1,0.38912365
1,0.8706991
1,0.9456269
0,0.2537133
0,0.20696615
0,0.49753097
1,0.60313874
1,0.059783608
1,0.33959472
0,0.015956178
1,0.2784762
1,0.21624185
1,0.036022298
1,0.24287179
1,0.086889476
0,0.10609063
1,0.3952852
1,0.36629963
1,0.33541328
1,0.15534322
1,0.091742106
0,0.01889625
0,0.24177264
1,0.38178754
1,0.14111088
0,0.046368197
0,0.8439473
0,0.2162948
1,0.16173112
1,0.12101823
1,0.14284621
0,0.014115431
1,0.21491963
1,0.9410444
1,0.8811102
1,0.40016407
1,0.78464276
1,0.8885375
0,0.24000536
1,0.80038875
1,0.71418464
1,0.047830302
1,0.07426736
1,0.14962956
1,0.7617037
0,0.05486826
0,0.11706136
1,0.27428514
1,0.7169696
0,0.058199927
1,0.55082065
0,0.45285088
1,0.10190543
1,0.5672182
0,0.027001007
1,0.05470405
1,0.37338328
0,0.23209102
0,0.5675005
1,0.24492423
0,0.021810155
1,0.22201887
1,0.41829526
0,0.33281326
1,0.78312284
0,0.5892569
0,0.020666882
1,0.8995825
0,0.04138852
0,0.7090849
0,0.041477304
1,0.031360574
1,0.8384982
0,0.0034615872
0,0.6980994
1,0.13814597
0,0.1793209
1,0.873988
1,0.5293218
0,0.01678818
1,0.64562356
0,0.39136985
1,0.5543448
1,0.86964095
0,0.017310914
1,0.39001977
0,0.5899878
0,0.05002747
1,0.7447023
1,0.09724617
0,0.03921385
1,0.658496
0,0.03894223
0,0.03876237
1,0.86790866
0,0.020632302
1,0.3642058
1,0.7126604
1,0.20696938
1,0.6131426
1,0.5990677
1,0.79223657
1,0.3090818
0,0.08597552
0,0.4960419
1,0.38618332
1,0.93841845
1,0.44333863
1,0.780119
1,0.115702525
0,0.0017587359
1,0.15745394
1,0.29694518
0,0.17677546
0,0.54774505
1,0.28864375
1,0.3459206
0,0.002737831
0,0.88438624
1,0.88708615
1,0.37744942
1,0.63672906
0,0.78044844
0,0.0069031026
0,0.027807325
1,0.6096123
0,0.23066297
1,0.5291903
1,0.21676545
0,0.46517166
1,0.5886278
0,0.11630988
1,0.7857555
1,0.39600924
0,0.0023249416
1,0.1439941
1,0.82935894
1,0.3933392
1,0.7090051
0,0.15755074
1,0.035295364
0,0.108099155
0,0.25809
1,0.72905666
1,0.7444391
0,0.5545229
0,0.006717365
1,0.87024146
0,0.009765493
0,0.16488454
1,0.5038924
0,0.5350076
1,0.3448515
0,0.4977505
1,0.045246687
0,0.0855745
0,0.17421935
1,0.057466257
0,0.060621325
1,0.09192155
0,0.063712545
0,0.08919723
1,0.39573073
1,0.04922852
1,0.054618526
0,0.4559115
0,0.10577644
1,0.1477085
0,0.07395092
0,0.21681005
1,0.4488379
1,0.28023964
0,0.52444637
0,0.100011714
1,0.8205954
1,0.6181183
0,0.4593152
0,0.31657964
0,0.20596689
1,0.16658045
0,0.5950573
0,0.18767104
1,0.5111453
0,0.033998534
0,0.051893294
0,0.14005862
0,0.029407732
1,0.5105557
1,0.30026427
1,0.07890423
1,0.47204235
1,0.44428203
1,0.14750178
1,0.095985696
0,0.3356585
1,0.012903881
0,0.04534396
1,0.28094697
0,0.016302936
1,0.32920182
1,0.20896073
1,0.9724807
0,0.0069234553
1,0.7844063
0,0.12310492
0,0.038781516
1,0.23078835
1,0.9438853
1,0.7645683
0,0.6075651
0,0.06335529
0,0.34101617
0,0.14445303
0,0.0956061
0,0.25849319
0,0.020974211
0,0.12864582
1,0.38113123
1,0.7951707
0,0.7297066
0,0.19994685
1,0.028608574
1,0.965168
0,0.18374223
0,0.03699525
1,0.5615592
0,0.07487803
0,0.0068109785
1,0.90209144
1,0.0030370627
1,0.04901658
1,0.8458166
1,0.017934721
1,0.02263626
0,0.066400394
1,0.7872714
1,0.7902148
0,0.024121143
1,0.74072564
0,0.0042052236
1,0.93456566
0,0.30660543
1,0.26164252
1,0.08122703
1,0.91925305
0,0.034090336
0,0.26331684
1,0.5324138
0,0.009942035
0,0.029133812
1,0.38350117
1,0.7868099
1,0.4114194
0,0.6874087
0,0.2799883
1,0.5258975
0,0.12871565
0,0.31099123
1,0.5072247
0,0.33212414
1,0.35248047
1,0.2634722
1,0.051989518
1,0.24166974
0,0.0055204513
1,0.81386346
0,0.05548472
0,0.042922992
0,0.16541193
1,0.6432433
0,0.077922836
0,0.046226833
0,0.09337479
1,0.012419901
0,0.00070331164
1,0.7744056
1,0.68864447
1,0.19345744
1,0.43109843
1,0.56909233
1,0.48145843
1,0.27148482
1,0.64295006
1,0.12557188
1,0.14027867
1,0.6134011
1,0.8149246
1,0.5553236
0,0.22235762
0,0.009430889
1,0.14552923
0,0.0077865096
1,0.12824138
1,0.78911966
1,0.6810105
1,0.54282224
0,0.25994816
1,0.18987925
1,0.45963383
1,0.33774042
1,0.68702763
1,0.33090794
1,0.7003144
1,0.8147163
0,0.1673281
0,0.7047264
0,0.0049689766
1,0.014702736
0,0.04637694
0,0.022663865
1,0.76552135
0,0.03776395
0,0.05511313
1,0.064534456
1,0.063000314
1,0.82825166
1,0.9033042
0,0.08548298
1,0.09230988
1,0.004537637
1,0.14812276
0,0.03961424
1,0.5769824
1,0.1225215
1,0.3254031
0,0.03119125
0,0.022332806
1,0.0491875
0,0.7213489
1,0.36190227
0,0.6539967
1,0.7614087
0,0.41295937
1,0.4006489
0,0.022277584
1,0.20181106
0,0.21306518
1,0.52758336
1,0.98136514
1,0.36847338
0,0.049812447
0,0.08276314
0,0.21694022
1,0.309293
1,0.8684851
1,0.123459764
0,0.072318226
0,0.4683852
0,0.10900892
1,0.6673405
1,0.60328346
0,0.07285984
0,0.15360421
0,0.44275975
1,0.5242206
1,0.16464831
1,0.19903438
1,0.09192155
1,0.6592363
1,0.70417386
1,0.7614305
0,0.70494777
1,0.4884562
1,0.64104253
1,0.64353704
1,0.528257
1,0.14717042
1,0.7562319
1,0.78066105
1,0.27348718
0,0.0719594
0,0.08779128
1,0.7331282
1,0.25475422
0,0.41044748
1,0.17948914
1,0.28132567
0,0.14307453
1,0.11966215
0,0.0781195
0,0.45079133
1,0.919102
1,0.49405655
1,0.08820939
1,0.6826749
1,0.028200004
1,0.90355957
1,0.7218656
0,0.08344668
1,0.40535244
0,0.17450213
1,0.6475499
1,0.8520135
0,0.95314586
1,0.73783576
1,0.7428574
1,0.4943544
1,0.2271539
1,0.55939025
1,0.5896844
1,0.91495556
0,0.15076587
0,0.7302983
1,0.15764476
0,0.09531601
0,0.09335267
1,0.301247
1,0.13997501
1,0.67336917
1,0.35822684
1,0.50910574
0,0.16901888
