y_true,y_proba
0.0,0.42383763
0.0,0.6010617
0.0,0.28023452
0.0,0.15071736
0.0,0.17848876
1.0,0.24835695
0.0,0.80951524
0.0,0.86820906
1.0,0.9956317
0.0,0.03906942
0.0,0.26666614
0.0,0.12635781
0.0,0.15807627
0.0,0.022682574
0.0,0.058489453
1.0,0.9709085
0.0,0.0044654156
0.0,0.9908545
1.0,0.98524034
0.0,0.76622427
0.0,0.7809051
0.0,0.899501
0.0,0.26001754
0.0,0.2769233
0.0,0.2912481
1.0,0.46581247
0.0,0.9182563
1.0,0.78349686
0.0,0.9941287
0.0,0.49649265
1.0,0.10657081
0.0,0.0075589153
1.0,0.0543019
1.0,0.00902175
1.0,0.7703867
1.0,0.096522905
0.0,0.9439823
1.0,0.8371327
0.0,0.63938105
0.0,0.01904614
1.0,0.71328586
1.0,0.97600377
1.0,0.96011233
0.0,0.020630538
0.0,0.20076048
1.0,0.95493376
0.0,0.17118494
1.0,0.9695318
0.0,0.25651515
0.0,0.5940685
0.0,0.1416053
0.0,0.99284357
0.0,0.074027084
1.0,0.9832849
1.0,0.83535105
0.0,0.08832514
0.0,0.0040488695
0.0,0.9921079
1.0,0.98178756
0.0,0.5229671
0.0,0.5072391
0.0,0.040778965
0.0,0.89098334
1.0,0.013535128
0.0,0.021153193
0.0,0.35791883
0.0,0.010819286
1.0,0.95755327
0.0,0.030643644
0.0,0.15613784
0.0,0.1573939
1.0,0.20684527
1.0,0.04722455
1.0,0.48665908
0.0,0.019642567
0.0,0.832523
0.0,0.73707694
0.0,0.3471807
1.0,0.94974774
0.0,0.9895577
0.0,0.29828152
0.0,0.025976209
0.0,0.7725704
0.0,0.017375486
0.0,0.059027836
0.0,0.04075353
1.0,0.9986168
0.0,0.27390927
0.0,0.014807345
0.0,0.1284407
1.0,0.9415811
0.0,0.029565992
1.0,0.59957033
1.0,0.28138652
0.0,0.92522866
1.0,0.9916893
0.0,0.7792315
0.0,0.015810294
0.0,0.094923235
0.0,0.026156267
0.0,0.022756463
0.0,0.06650158
0.0,0.0027896888
0.0,0.010065507
0.0,0.022179425
0.0,0.040626172
1.0,0.122995645
0.0,0.0056173964
1.0,0.016539536
0.0,0.632504
0.0,0.0076533775
0.0,0.025146753
0.0,0.94021904
0.0,0.9938362
0.0,0.34111187
1.0,0.2579946
0.0,0.18102325
0.0,0.4791321
0.0,0.040971797
0.0,0.16884999
1.0,0.9535239
0.0,0.14155287
0.0,0.30275658
0.0,0.016728994
0.0,0.7929419
1.0,0.24826322
1.0,0.8282431
0.0,0.5728428
0.0,0.05287905
0.0,0.87140346
1.0,0.99460715
0.0,0.015840953
0.0,0.0023166984
0.0,0.6601746
1.0,0.8758847
1.0,0.37291998
1.0,0.992934
1.0,0.9941188
1.0,0.10601333
0.0,0.011420357
0.0,0.2562915
1.0,0.015572709
0.0,0.647803
1.0,0.9869006
0.0,0.18090166
0.0,0.0650269
0.0,0.8362622
0.0,0.96629745
0.0,0.011550868
0.0,0.010003493
0.0,0.07094581
0.0,0.06578106
1.0,0.9974663
0.0,0.0645879
0.0,0.05499898
1.0,0.88648003
0.0,0.08294131
1.0,0.9032466
0.0,0.60981184
0.0,0.0022520884
0.0,0.020654388
1.0,0.9927396
1.0,0.63051337
0.0,0.24795508
1.0,0.0053161248
1.0,0.09093
0.0,0.120432205
0.0,0.6132257
1.0,0.9938975
0.0,0.048767768
1.0,0.84991616
1.0,0.99922884
0.0,0.7824454
1.0,0.9875535
0.0,0.8410587
1.0,0.97065634
0.0,0.028454272
0.0,0.44645548
1.0,0.7538026
1.0,0.98681647
0.0,0.58622223
0.0,0.5599798
